hexamethylphosphoramide (HMPA);680-31-9
piperidine;110-89-4
N,buthylpirrolidinone;3470-98-2
1,1,3,3-tetramethylguanidine;80-70-6
N,N-dimethylcyclohexylamine;98-94-2
Diformylxylose;N/D
thiolane-1-oxide;1600-44-8
N,N,N',N'-tetramethylurea;632-49-5
tributyl phosphate;126-73-8
Diethyl formamide;617-84-5
N,N-diethylacetamide;685-91-6
dimethyl phthalate;131-11-3
3,4-dimethylpyridine;3522-89-2
N-methylpyrrolidone;872-50-4
trimethyl phosphate;512-56-1
triethyl phosphate;78-40-0
tetramethyl oxolane (TMO);
dimethyl sulfoxide;15045-43-9
N,N-dimethylacetamide (DMA);127-19-5
2,6-dimethylpyridine;108-48-5
butylamine;109-73-9
triethylamine;121-44-8
N,N-dimethylformamide;68-12-2
4-methylpyridine;108-89-4
quinoline;91-22-5
pyridine;110-86-1
dimethylcyanamide;1467-79-4
N,N-dimethylbenzylamine;103-83-3
polarclean;N/D 
tributylamine;102-82-9
Cyrene;850068-72-3
Eucalyptol (Euc);470-82-6
3-bromopyridine;626-05-1
γ-valerolactone (GVL);108-29-2
2-methyl tetrahydrofuran (MTHF);96-47-9
tetrahydrofuran;109-99-9
2-bromopyridine;109-04-6
γ-butyrolactone (GBL);96-48-0
cyclohexanone;108-94-1
Cyclopentyl methyl ether (CPME);5614-37-9
cyclopentanone;120-92-3
2-pentanone;107-87-9
2-fluoropyridine;372-46-3
diisopropyl ether;108-20-3
diethyl ether;60-29-7
dipropyl ether;111-43-3
dibutyl ether;142-96-1
3-pentanone;606-10-0
1,3-dioxolane;646-06-0
ethyl acetate;141-78-6
butyl acetate;123-86-4
methyl tertbuthyl ether (MTBE);1634-04-4
thiolane;110-01-8
Dimethylisosorbide (DMI);5306-85-4
N,N-dimethylaniline;121-69-7
methyl acetate;79-20-9
2-phenylacetonitrile;140-29-4
dibenzyl ether;103-50-4
ethyl benzoate;93-89-0
1,2-dimethoxyethane;110-71-4
bis(2-chloroethyl) ether;111-44-4
butanenitrile;109-74-0
bis(2-methoxyethyl) ether;111-96-6
diethyl carbonate;105-58-8
Propylene carbonate (PPC);108-32-7
sulfolane;126-33-0
propanenitrile;107-12-0
Dimethyl carbonate;616-38-6
di-n-butyl sulfide;544-40-1
diisopropyl sulfide;625-80-9
benzonitrile;100-47-0
methyl formate;107-31-3
dioxane;123-91-1
diethyl sulfide;352-93-2
thiane;1637-25-8
ethyl formate;109-94-4
ethyl chloroacetate;105-39-5
chloroacetonitrile;107-14-2
dimethyl sulfide;75-18-3
methoxybenzene;100-66-3
nitrobenzene;98-95-3
ethoxybenzene;103-73-1
2-cyanopyridine;3928-86-7
acetic anhydride;108-24-7
ethyl trichloroacetate;515-84-4
1-iodobutane;542-69-8
Cygnet 0,0;N/D
pentafluoropyridine;700-16-6
diphenyl ether;101-84-8
1-bromobutane;109-65-9
1,3,5-trimethylbenzene;108-67-8
1,4-dimethylbenzene;106-42-3
toluene;108-88-3
1,3-dimethylbenzene;108-38-3
1,2-dichloroethane;107-06-2
benzene;71-43-2
tetrachloromethane;56-23-5
tetradecafluorohexane;355-42-0
