Name;CAS;Structure;Boiling Point (°C);Melting Point (°C);Molecular Weight (g/mol);density (g/mL);alpha;beta;gamma;Dimroth ET;Dielectric constant;Dipole moment (D);LogP;Water Miscibility;H-phrases;Oxidation resistance;Reduction resistance;Acid resistance;Basic resistance
hexamethylphosphoramide (HMPA);680-31-9;680-31-9.png;235;-8;179.2;1.027;0;1.05;0.87;40.9;30;5.54;0.28;Total;H350 H360FD H302 H312 H332 H315 H319 H335;Yes;Yes;No;Yes
1,3,5-trimethylbenzene;108-67-8;108-67-8.png;164.7;-44.7;120.19;0.864;0;0.13;0.41;N/A;2.28;0;3.42;No;H226 H315 H319 H332 H335;Yes;Yes;Yes;Yes
1,4-dimethylbenzene;106-42-3;106-42-3.png;138.3;-47.8;106.17;0.861;0;0.12;0.43;N/A;2.27;0;3.15;No;H226 H304 H312 H332 H315 H319 H335;Yes;Yes;Yes;Yes
toluene;108-88-3;108-88-3.png;110.6;-95;92.14;0.867;0;0.11;0.54;33.9;2.38;0.36;2.73;No;H225 H304 H315 H336 H361d H373;Yes;Yes;Yes;Yes
1,3-dimethylbenzene;108-38-3;108-38-3.png;139.1;-47.9;106.17;0.864;0;0.11;0.47;N/A;2.37;0.3;3.2;No;H226 H304 H312 H332 H315 H319 H335;Yes;Yes;Yes;Yes
1,2-dichloroethane;107-06-2;107-06-2.png;83.5;-35.3;98.96;1.253;0;0.1;0.81;41.1;10.36;2.06;1.48;Slightly;H225 H302 H315 H319 H331 H350 H373;No;Yes;No;Yes
benzene;71-43-2;71-43-2.png;80.1;5.5;78.11;0.879;0;0.1;0.59;34.5;2.28;0;2.13;No;H225 H304 H315 H319 H331 H340 H350 H372;Yes;Yes;No;Yes
tetrachloromethane;56-23-5;56-23-5.png;76.7;-22.9;153.82;1.594;0;0.1;0.28;32.1;2.24;0;2.83;No;H302 H315 H319 H331 H372 H412;No;No;No;No
tetradecafluorohexane;355-42-0;355-42-0.png;59;-83;338.04;1.69;0;-0.08;-0.41;N/A;1.8;0;4.5;No;N/A;Yes;Yes;Yes;Yes
cis-decalin;493-01-6;493-01-6.png;195.7;-43.2;138.25;0.896;0;0.08;0.11;N/A;2.12;0.1;4.65;No;H226 H304;Yes;Yes;Yes;Yes
chlorobenzene;108-90-7;108-90-7.png;131.7;-45.2;112.56;1.107;0;0.07;0.71;37.5;5.62;1.59;2.78;No;H226 H302 H315 H319 H332 H411;No;Yes;Yes;Yes
fluorobenzene;462-06-6;462-06-6.png;84.7;-41.2;96.1;1.024;0;0.07;0.62;N/A;5.42;1.6;2.27;No;H225 H315 H319 H335;Yes;Yes;Yes;Yes
carbon disulfide;75-15-0;75-15-0.png;46.3;-110.8;76.13;1.263;0;0.07;0.61;32.5;2.64;0;1.84;No;H225 H302 H319 H332 H361f H372;No;Yes;Yes;Yes
perfluoro(methylcyclohexane);376-97-6;376-97-6.png;76;-35; 350.06; 1.78;0;-0.06;-0.4;N/A;1.8;0;4.5;No;N/A;Yes;Yes;Yes;Yes
iodobenzene;591-50-4;591-50-4.png;188.3;-29.1;204.01;1.83;0;0.06;0.81;N/A;4.6;1.2;2.5;No;H302 H312 H332 H315 H319 H335;No;No;Yes;Yes
bromobenzene;108-86-1;108-86-1.png;156;-30.6;157.01;1.495;0;0.06;0.79;N/A;5.4;1.79;2.58;No;H226 H302 H312 H332 H411;Yes;No;Yes;Yes
octadecafluoronaphthalene;01/02/9079;2622109.png;180;70; 450.08; 2.0;0;-0.05;-0.32;N/A;N/A;N/A;N/A;No;N/A;Yes;Yes;Yes;Yes
trichloroethene;79-01-6;79-01-6.png;87.2;-73;131.39;1.46;0;0.05;0.53;39.1;3.4;1;2.42;No;H350 H331 H319 H315 H336 H302;No;Yes;No;Yes
tetrachloroethene;127-18-4;127-18-4.png;121.2;-22;165.83;1.623;0;0.05;0.28;31.9;2.3;0;2.88;No;H350 H319 H315 H336 H373;No;Yes;No;Yes
1,2-dichlorobenzene;95-50-1;95-50-1.png;180.5;-17.3;147.01;1.305;0;0.03;0.8;N/A;9.9;2.5;3.43;No;H302 H315 H319 H332 H411;Yes;Yes;Yes;Yes
1,3-dichlorobenzene;541-73-1;541-73-1.png;173;-24.8;147.01;1.288;0;0.03;0.75;N/A;5.7;1.72;3.44;No;H302 H315 H319 H332 H411;Yes;Yes;Yes;Yes
1,4-difluorobenzene;540-36-3;540-36-3.png;88.7;-13;114.1;1.173;0;0.03;0.58;N/A;2.5;0;2.3;No;H225;Yes;Yes;Yes;Yes
hexafluorobenzene;392-56-3;392-56-3.png;80.5;5.1;186.05;1.614;0;0.02;0.33;N/A;2.2;0;3.4;No;N/A;Yes;Yes;Yes;Yes
tetramethylsilane;75-76-3;75-76-3.png;26.6;-105;88.23;0.648;0;0.02;-0.09;N/A;1.87;0;2.71;No;H224;Yes;Yes;Yes;Yes
2-methylbutane;78-78-4;78-78-4.png;27.8;-160;72.15;0.616;0;0.01;-0.08;N/A;1.84;0;3.0;No;H224 H304 H336;Yes;Yes;Yes;Yes
1,1,2,2-tetrachloroethane;79-34-5;79-34-5.png;146.5;-43;167.85;1.597;0;0;0.95;42.3;8.2;1.8;2.39;No;H301 H312 H331 H315 H319 H335 H373;No;Yes;No;Yes
dibromomethane;74-95-3;74-95-3.png;96.5;-52.7;173.83;2.497;0;0;0.92;42.3;4.7;1.9;1.75;Slightly;H302 H315 H319 H335;No;Yes;No;Yes
1,2-dibromoethane;106-93-4;106-93-4.png;131.4;9.7;187.86;2.17;0;0;0.75;N/A;4.78;1;1.88;Slightly;H301 H312 H331 H315 H319 H335 H340 H350 H360FD H372;No;Yes;No;Yes
diiodomethane;75-11-6;75-11-6.png;181;6;267.84;3.325;0;0;0.65;N/A;5.3;1.1;1.3;Slightly;H315 H319 H335;No;No;No;Yes
1,1,1-trichloroethane;71-55-6;71-55-6.png;74.1;-32.5;133.4;1.339;0;0;0.49;35.1;7.5;1.78;2.33;No;H315 H319 H336 H373;No;Yes;No;Yes
trans-1,2-dichloroethene;156-60-5;156-60-5.png;47.5;-50;96.94;1.26;0;0;0.44;N/A;2.13;0;2.09;No;H225 H302 H315 H319 H335;No;Yes;No;Yes
1-chlorobutane;109-69-3;109-69-3.png;78.1;-123.1;92.57;0.886;0;0;0.39;N/A;7.1;2.08;2.64;No;H225 H302 H315 H319 H335;No;Yes;Yes;Yes
pentane;109-66-0;109-66-0.png;36.1;-129.7;72.15;0.626;0;0;-0.08;N/A;1.84;0;3.39;No;H225 H304 H336;Yes;Yes;Yes;Yes
heptane;142-82-5;142-82-5.png;98.4;-90.6;100.21;0.684;0;0;-0.08;N/A;1.92;0;4.66;No;H225 H304 H315 H336;Yes;Yes;Yes;Yes
dodecane;112-40-3;112-40-3.png;216.3;-9.6;170.34;0.749;0;0;0.05;N/A;2.0;0;6.6;No;H226 H304;Yes;Yes;Yes;Yes
hexane;110-54-3;110-54-3.png;68.7;-95.3;86.18;0.66;0;0;-0.04;N/A;1.88;0;3.9;No;H225 H304 H315 H336 H361f H373;Yes;Yes;Yes;Yes
decane;124-18-5;124-18-5.png;174.1;-29.7;142.28;0.73;0;0;0.03;N/A;1.99;0;5.9;No;H226 H304;Yes;Yes;Yes;Yes
octane;111-65-9;111-65-9.png;125.7;-56.8;114.23;0.703;0;0;0.01;N/A;1.95;0;5.18;No;H225 H304 H315 H336;Yes;Yes;Yes;Yes
cyclohexane;110-82-7;110-82-7.png;80.7;6.5;84.16;0.779;0;0;0;N/A;2.02;0;3.44;No;H225 H304 H315 H336 H410;Yes;Yes;Yes;Yes
4-methyl-2-pentanone;108-10-1;108-10-1.png;117;-84.7;100.16;0.8;0.02;0.48;0.65;N/A;13.1;2.8;1.31;Slightly;H225 H319 H332 H335;Yes;Yes;Yes;Yes
acetophenone;98-86-2;98-86-2.png;202;20.5;120.15;1.028;0.04;0.49;0.9;41.1;17.3;3;1.58;Slightly;H302 H315 H319 H335;Yes;Yes;No;Yes
2-heptanone;110-43-0;110-43-0.png;150.8;-35.5;114.19;0.817;0.05;0.48;0.61;N/A;11.9;2.77;1.9;Slightly;H226 H302 H332 H336;Yes;Yes;Yes;Yes
tribromomethane;75-25-2;75-25-2.png;149.5;7.8;252.73;2.89;0.05;0.05;0.62;N/A;4.3;0.62;1.86;Slightly;H302 H315 H319 H335 H373;No;Yes;No;Yes
2-butanone;78-93-3;78-93-3.png;79.6;-86;72.11;0.805;0.06;0.48;0.67;39.5;18.5;2.78;0.29;Yes;H225 H319 H336;Yes;Yes;Yes;Yes
2-propanone;67-64-1;67-64-1.png;56.2;-95;58.08;0.791;0.08;0.43;0.71;42.2;20.7;2.88;0.02;Total;H225 H319 H336;Yes;Yes;Yes;Yes
1,1-dichloroethane;75-34-3;75-34-3.png;57.3;-96.7;98.96;1.176;0.1;0.1;0.48;N/A;10.9;2.06;1.78;No;H225 H302 H315 H319 H335;No;Yes;No;Yes
1,2-diaminoethane;107-15-3;107-15-3.png;116;11;60.1;0.899;0.13;1.43;0.47;N/A;14.2;1.6;N/A;Total;H226 H302 H312 H314 H317 H331;No;Yes;No;No
dichloromethane;75-09-2;75-09-2.png;39.6;-96.7;84.93;1.325;0.13;0.1;0.82;40.7;8.9;1.6;1.25;Slightly;H351 H315 H319 H336;No;Yes;No;Yes
pyrrolidine;123-75-1;123-75-1.png;87;-63; 71.12; 0.852;0.16;0.7;0.39;N/A;8.3;1.57;0.42;Total;H225 H302 H314;No;Yes;No;No
N-formyl-Morpholine;4394-85-8;4394-85-8.png;244;21;115.13;1.15;0.16;0.59;0.91;N/A;47;3.9;N/A;Total;N/A;Yes;Yes;Yes;Yes
N-methylaniline;100-61-8;100-61-8.png;196;-57; 107.15; 0.989;0.17;0.47;0.82;N/A;5.9;1.75;1.6;Slightly;H301 H311 H331 H341 H370 H411;Yes;No;No;Yes
